순서,단어,해석
27,plain,검소한
13,unique,독특한
10,empty-headed,무지한
48,eccentric,별난
68,rigid,엄격한
2,alert,정신이 초롱초롱한
27,crude,조잡한
4,slender,가느다란
7,harsh,가혹한
5,concise,간결한
6,brief,간단한
3,moving,감동적인
4,sentimental,감상적인
5,admiring,감탄하는
7,abrupt,갑작스러운
8,potent,강력한
9,intense,강렬한
6,objective,객관적인
14,huge,거대한
15,haughty,거만한
9,worried,거친
8,concerned,걱정스러운
19,wholesome,건강에 좋은
17,constructive,건설적인
20,frugal,검소한
21,timid,겁 많은
34,deliberate,신중한
34,innumerable,겁나 많은
28,optimistic,겁에 질린
22,indolent,게으른
24,innocent,결백한
25,humble,겸손한
16,impartial,고독한
27,decent,고상한
62,constant,고양이를 좋아하는
28,serene,고요한
29,stubborn,고집 센
32,aggressive,공격적인
14,adorable,공경할 만한
28,civil,공손한
41,righteous,공정한
36,arrogant,교만한
37,sly,교활한
42,domestic,국산
43,military,군대
46,precious,귀중한
47,plausible,그럴 듯한
21,industrious,근면한
36,unprecedented,근본 없는
52,affirmative,긍정적인
66,fertile,기름진
48,descriptive,기묘한
24,delighted,기쁜
26,relaxed,긴장을 푼
57,astray,길 잃은
27,frightened,깜짝 놀란
9,sanitary,깨끗한
58,incessant,끊임없는
54,staple,나는
20,disappointed,낙담한
38,dynamic,난처한
59,naked,날아다니는
62,acute,날카로운
29,romantic,낭만적인
4,preferable,내가 좋아하는
30,introversive,내성적인
63,reluctant,내키지 않는
32,cold-blooded,냉담한
31,cynical,냉소적인
65,sober,냉정한
64,liberal,너그러운
75,inevitable,너를 기다리는
66,analytic,넘어진
31,incurable,노란
34,argumentative,논쟁적인
35,surprised,놀란
18,unanimous,누구나 탐내는
65,prominent,눈에 띄는
66,visible,눈에 보이는
67,diverse,다양한
36,monotonous,단조로운
33,polite,공손한
1,resolute,단호한
37,perplexed,당황한
43,conscious,대기타고 있는
2,bold,대담한
24,transient,덧없는
5,moral,도덕적인
6,temporary,동그란
39,sympathetic,동정받는
56,partial,두꺼운
40,fearful,두려운
41,dull,둔한
9,rare,드문
44,exact,듣도 보도 못한
10,genial,따뜻한
23,firm,딱딱한
11,persuasive,똑똑한
14,predominant,뛰어난
43,warm-hearted,마음이 따뜻한
44,feeble-minded,마음이 약한
6,athletic,만능 엔터테이너
45,satisfied,만족스러운
19,delicious,맛있는
20,lofty,매우 높은
21,numerous,매우 많은 양의
50,cultural,매혹적인
53,primary,머리아픈
24,distinct,명백한
47,insulting,모욕적인
29,tiny,몹시 작은
45,ultimate,몹쓸
61,harmonious,못된
30,indifferent,무관심한
3,daring,대담한
31,rude,무례한
32,reckless,무모한
33,hideous,무서운
7,simultaneous,빛나는
46,terrified,무서워하는
4,casual,무심한
36,ruthless,무자비한
71,narrow-mined,문 밖의
38,physical,물리적인
35,myriad,물에 빠진
16,harsh,미래에서 온
15,enormous,아름다운
39,subtle,미묘한
60,raw,미숙한
40,sensitive,민감한
51,desirable,바람직한
52,ironical,반어적인
44,ingenious,발명에 재능이 있는
42,stirring,배부른
66,approving,배우가 되고 싶은
46,capricious,변덕스러운
56,changeable,변하기 쉬운
47,consistent,변함없는
54,queer,별난
49,inferior,보다 열등한
50,conservative,보수적인
51,ordinary,보통의
52,complex,복잡한
54,ashamed,부끄러운
55,tender,부드러운
57,defensive,부러워 하는
61,negative,부정적인
57,deficient,부족한
62,reckless,부주의한
58,arctic,북극에서 온
